>> INCOME = 0.2468	ABILITY = 0
0.000000       0.000000       
0.000557       0.000000       
0.001128       0.000000       
0.001713       0.000000       
0.002312       0.000000       
0.002927       0.000000       
0.003557       0.000000       
0.004202       0.000000       
0.004864       0.000000       
0.005543       0.000000       
0.006238       0.000000       
0.006951       0.000000       
0.007681       0.000000       
0.008430       0.000000       
0.009198       0.000000       
0.009985       0.000000       
0.010791       0.000000       
0.011618       0.000000       
0.012465       0.000000       
0.013333       0.000000       
0.014223       0.000000       
0.015136       0.000000       
0.016071       0.000000       
0.017030       0.000000       
0.018012       0.000000       
0.019019       0.000000       
0.020051       0.000000       
0.021110       0.000000       
0.022194       0.000000       
0.023306       0.000000       
0.024445       0.000000       
0.025613       0.000000       
0.026810       0.000000       
0.028037       0.000000       
0.029295       0.000103       
0.030584       0.000476       
0.031906       0.000784       
0.033260       0.001078       
0.034648       0.001513       
0.036071       0.002022       
0.037530       0.002594       
0.039025       0.003216       
0.040558       0.003875       
0.042128       0.004571       
0.043738       0.005306       
0.045389       0.006071       
0.047080       0.006861       
0.048814       0.007690       
0.050591       0.008535       
0.052413       0.009412       
0.054280       0.010320       
0.056194       0.011254       
0.058155       0.012219       
0.060166       0.013207       
0.062227       0.014227       
0.064339       0.015274       
0.066505       0.016353       
0.068724       0.017462       
0.070999       0.018605       
0.073331       0.019777       
0.075721       0.020978       
0.078171       0.022213       
0.080682       0.023485       
0.083256       0.024792       
0.085894       0.026133       
0.088598       0.027510       
0.091370       0.028999       
0.094211       0.030587       
0.097123       0.032191       
0.100108       0.033924       
0.103167       0.035758       
0.106303       0.037692       
0.109517       0.039701       
0.112812       0.041792       
0.116189       0.043951       
0.119651       0.046187       
0.123199       0.048472       
0.126836       0.050824       
0.130563       0.053261       
0.134384       0.055770       
0.138301       0.058352       
0.142315       0.060989       
0.146430       0.063689       
0.150647       0.066480       
0.154970       0.069349       
0.159401       0.072309       
0.163943       0.075330       
0.168599       0.078408       
0.173370       0.081591       
0.178261       0.084869       
0.183275       0.088233       
0.188413       0.091747       
0.193681       0.095351       
0.199079       0.099100       
0.204613       0.103008       
0.210285       0.107050       
0.216099       0.111262       
0.222059       0.115578       
0.228167       0.120020       
0.234428       0.124606       
0.240845       0.129313       
0.247423       0.134169       
0.254166       0.139114       
0.261077       0.144229       
0.268160       0.149481       
0.275421       0.154846       
0.282863       0.160414       
0.290492       0.166072       
0.298311       0.171866       
0.306325       0.177881       
0.314540       0.184033       
0.322961       0.190363       
0.331592       0.196926       
0.340438       0.203679       
0.349506       0.210621       
0.358800       0.217854       
0.368327       0.225252       
0.378092       0.232844       
0.388101       0.240711       
0.398361       0.248729       
0.408876       0.256946       
0.419655       0.265460       
0.430703       0.274154       
0.442028       0.283058       
0.453635       0.292255       
0.465533       0.301693       
0.477728       0.311331       
0.490228       0.321248       
0.503040       0.331538       
0.516173       0.342082       
